Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAU,Almaden Minerals Ltd. Common Shares,$0.2964,0.0136,4.809%,40672425.00,Canada,2015,377239,,
ABCL,AbCellera Biologics Inc. Common Shares,$9.67,-0.04,-0.412%,2722890929.00,Canada,2020,732139,,
ABST,Absolute Software Corporation Common Stock,$7.89,0.02,0.254%,393084305.00,Canada,2020,105397,,
ABUS,Arbutus Biopharma Corporation Common Stock,$3.135,0.065,2.117%,427718229.00,Canada,,1590400,,
ACB,Aurora Cannabis Inc. Common Shares,$5.0074,-0.1026,-2.008%,992607022.00,Canada,,4702478,,
ACST,Acasti Pharma Inc. Class A Common Stock,$1.3373,-0.0127,-0.941%,59226587.00,Canada,,204922,,
AEM,Agnico Eagle Mines Limited Common Stock,$54.18,3.88,7.714%,13266857597.00,Canada,,2557301,,
AEZS,Aeterna Zentaris Inc. Common Stock,$0.3451,0.0051,1.50%,41894107.00,Canada,,539840,,
AFMD,Affimed N.V.,$4.395,0.175,4.147%,526508540.00,Germany,2014,539789,Health Care,Biotechnology: Pharmaceutical Preparations
AG,First Majestic Silver Corp. Ordinary Shares (Canada),$11.895,1.355,12.856%,3052404665.00,Canada,,5834494,,
AGI,Alamos Gold Inc. Class A Common Shares,$7.335,0.685,10.301%,2875046434.00,Canada,2015,3624937,,
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,$1.6235,-0.0165,-1.006%,24446434.00,Canada,2021,65736,,
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,$0.46,0.00,0.00%,0.00,Canada,2021,12,,
AKU,Akumin Inc. Common Shares,$1.60,0.02,1.266%,142443195.00,Canada,,6893,,
ALV,Autoliv Inc. Common Stock,$103.25,-1.13,-1.083%,9032128280.00,Sweden,,210055,Capital Goods,Auto Parts:O.E.M.
ALYA,Alithya Group inc. Class A Subordinate Voting Shares,$2.61,-0.01,-0.382%,218852974.00,Canada,,13515,,
ANY,Sphere 3D Corp. Common Shares,$2.445,0.035,1.452%,154515005.00,Canada,,1417818,,
APT,Alpha Pro Tech Ltd. Common Stock,$5.2699,0.1199,2.328%,69733377.00,Canada,,180916,,
APTO,Aptose Biosciences Inc. Common Shares,$1.27,-0.01,-0.781%,112964905.00,Canada,,326638,,
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.8749,0.0638,7.866%,89452585.00,Canada,,789264,,
ASND,Ascendis Pharma A/S American Depositary Shares,$121.57,4.06,3.455%,6921914001.00,Denmark,2015,48644,Health Care,Biotechnology: Pharmaceutical Preparations
ASTL,Algoma Steel Group Inc. Common Shares,$10.05,0.08,0.802%,1126344655.00,Canada,,132620,,
ASTLW,Algoma Steel Group Inc. Warrant,$2.66,0.06,2.308%,0.00,Canada,,3788,,
ATAI,ATAI Life Sciences N.V. Common Shares,$5.66,0.27,5.009%,907286408.00,Germany,2008,529885,,
ATY,AcuityAds Holdings Inc. Common Shares,$3.095,-0.035,-1.118%,187673440.00,Canada,,76755,,
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares,$19.015,0.445,2.396%,2465681610.00,Canada,,1093524,,
AUY,Yamana Gold Inc. Ordinary Shares (Canada),$4.423,0.313,7.616%,4260043411.00,Canada,,10289493,,
AXU,Alexco Resource Corp Common Shares (Canada),$1.845,0.145,8.529%,278425856.00,Canada,,1545486,,
AZ,A2Z Smart Technologies Corp. Common Shares,$8.9068,0.0568,0.642%,213532603.00,Canada,,45981,,
BAM,Brookfield Asset Management Inc. Common Stock,$55.55,-0.01,-0.018%,87118004606.00,Canada,,880112,Miscellaneous,Other Consumer Services
BB,BlackBerry Limited Common Stock,$9.205,0.115,1.265%,5280686586.00,Canada,,4387817,,
BCE,BCE Inc. Common Stock,$53.25,0.02,0.038%,48393600000.00,Canada,,409735,,
BCTX,BriaCell Therapeutics Corp. Common Shares,$8.2354,-0.0246,-0.298%,131326976.00,Canada,,203812,,
BCTXW,BriaCell Therapeutics Corp. Warrant,$4.65,0.22,4.966%,0.00,Canada,,5745,,
BFRA,Biofrontera AG American Depositary Shares,$3.13,-0.02,-0.635%,88762706.00,Germany,2018,5904,Health Care,Biotechnology: Pharmaceutical Preparations
BGI,Birks Group Inc. Common Stock,$4.79,0.04,0.842%,87795637.00,Canada,,7459,,
BHC,Bausch Health Companies Inc. Common Stock,$26.135,-0.465,-1.748%,9391109334.00,Canada,,2076028,,
BITF,Bitfarms Ltd. Common Stock,$4.185,-0.005,-0.119%,783538370.00,Canada,,2662845,,
BLDP,Ballard Power Systems Inc. Common Shares,$10.69,0.02,0.187%,3181635206.00,Canada,,2484958,,
BLU,BELLUS Health Inc. Common Shares,$6.01,-0.04,-0.661%,639406070.00,Canada,2019,227937,,
BMO,Bank Of Montreal Common Stock,$117.38,-1.16,-0.979%,76092687785.00,Canada,,436929,,
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,$73.02,-0.73,-0.99%,88770786256.00,Canada,,844142,,
BNTX,BioNTech SE American Depositary Share,$167.02,-2.21,-1.306%,40505181824.00,Germany,2019,2107075,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BRAG,Bragg Gaming Group Inc. Common Shares,$4.7776,0.1176,2.524%,95341948.00,Canada,,25984,,
BRCN,Burcon NutraScience Corp. Common Stock,$1.11,-0.0098,-0.875%,120609541.00,Canada,,12429,Basic Industries,Precious Metals
BTG,B2Gold Corp Common shares (Canada),$3.75,0.18,5.042%,3958442228.00,Canada,,8743115,,
CAE,CAE Inc. Ordinary Shares,$25.83,-0.67,-2.528%,8182935114.00,Canada,,76694,,
CALT,Calliditas Therapeutics AB American Depositary Shares,$22.20,0.04,0.181%,580991582.00,Sweden,2020,12202,Health Care,Biotechnology: Pharmaceutical Preparations
CCJ,Cameco Corporation Common Stock,$22.02,0.44,2.039%,8763132665.00,Canada,1996,2928166,,
CGC,Canopy Growth Corporation Common Shares,$7.805,0.025,0.321%,3072932455.00,Canada,,3917125,,
CIGI,Colliers International Group Inc. Subordinate Voting Shares,$140.74,1.61,1.157%,6196556172.00,Canada,,12889,,
CLS,Celestica Inc. Common Stock,$11.125,0.035,0.316%,1387424760.00,Canada,1998,175509,,
CM,Canadian Imperial Bank of Commerce Common Stock,$130.63,-1.34,-1.015%,58908948561.00,Canada,,326230,,
CMCL,Caledonia Mining Corporation Plc Common Shares,$12.0176,0.1976,1.672%,154223375.00,Canada,,27371,Basic Industries,Precious Metals
CNI,Canadian National Railway Company Common Stock,$123.69,2.14,1.761%,87362247000.00,Canada,,635419,,
CNQ,Canadian Natural Resources Limited Common Stock,$52.87,0.09,0.171%,62218420530.00,Canada,,1541793,,
CNTG,Centogene N.V. Common Shares,$4.81,0.01,0.208%,108279074.00,Germany,2019,5350,Health Care,Medical Specialities
CP,Canadian Pacific Railway Limited Common Stock,$76.49,0.94,1.244%,71103149145.00,Canada,,1217213,,
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada),$6.54,0.02,0.307%,3806192155.00,Canada,,2175620,,
CRDL,Cardiol Therapeutics Inc. Class A Common Shares,$2.06,-0.25,-10.823%,122150984.00,Canada,,1017633,,
CRON,Cronos Group Inc. Common Share,$3.67,-0.01,-0.272%,1364526357.00,Canada,,1581994,,
CVAC,CureVac N.V. Ordinary Shares,$22.41,-0.06,-0.267%,4189603418.00,Germany,2020,229356,Health Care,Biotechnology: Pharmaceutical Preparations
CVE,Cenovus Energy Inc Common Stock,$14.875,0.005,0.034%,30012951608.00,Canada,,6240074,,
DB,Deutsche Bank AG Common Stock,$13.355,-0.145,-1.074%,27978725000.00,Germany,,1996635,Finance,Commercial Banks
DCBO,Docebo Inc. Common Shares,$53.38,1.24,2.378%,1753889632.00,Canada,,45394,,
DGHI,Digihost Technology Inc. Common Subordinate Voting Shares,$3.72,-0.15,-3.876%,93110149.00,Canada,,54597,,
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.28,0.02,1.587%,1033423973.00,Canada,,6445038,,
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,$82.40,1.78,2.208%,6757180276.00,Canada,,42346,,
DOOR,Masonite International Corporation Ordinary Shares (Canada),$102.00,-1.67,-1.611%,3031103502.00,Canada,,87658,,
DPRO,Draganfly Inc. Common Shares,$1.35,-0.02,-1.46%,43411883.00,Canada,,61414,Consumer Durables,Electronic Components
DRTT,DIRTT Environmental Solutions Ltd. Common Shares,$1.99,-0.11,-5.238%,169815764.00,Canada,,41736,,
DRUG,Bright Minds Biosciences Inc. Common Stock,$2.84,0.06,2.158%,33645085.00,Canada,,2388,,
DSGX,Descartes Systems Group Inc. (The) Common Stock,$68.88,-0.08,-0.116%,5831215695.00,Canada,,51519,,
DTEA,DAVIDsTEA Inc. Common Stock,$3.3049,-0.0951,-2.797%,87117062.00,Canada,2015,30559,,
EGLX,Enthusiast Gaming Holdings Inc. Common Stock,$2.455,-0.035,-1.406%,327951288.00,Canada,,151335,,
EGO,Eldorado Gold Corporation Ordinary Shares,$9.90,0.66,7.143%,1808324417.00,Canada,,2096457,,
ELYS,Elys Game Technology Corp. Common Stock,$2.3702,-0.1098,-4.427%,39499618.00,Canada,,147034,Consumer Services,Movies/Entertainment
EMX,EMX Royalty Corporation Common Shares (Canada),$2.26,0.14,6.604%,238095997.00,Canada,,105262,,
ENB,Enbridge Inc Common Stock,$42.22,0.05,0.119%,85541316257.00,Canada,,1737267,Energy,Oil & Gas Production
ENBA,Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078,$26.50,0.09,0.341%,0.00,Canada,2018,9154,Energy,Oil & Gas Production
EPIX,ESSA Pharma Inc. Common Stock,$8.19,-0.54,-6.186%,237579705.00,Canada,,396227,,
EQX,Equinox Gold Corp. Common Shares,$7.505,0.745,11.021%,2260110066.00,Canada,,1740918,,
ERF,Enerplus Corporation Common Stock,$11.585,-0.125,-1.067%,2954175000.00,Canada,,1000687,,
ERIC,Ericsson American Depositary Shares,$11.375,0.125,1.111%,37878750000.00,Sweden,,3678411,Technology,Computer Software: Prepackaged Software
EVAX,Evaxion Biotech A/S American Depositary Share,$3.95,-0.04,-1.003%,91409020.00,Denmark,2021,28102,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EVO,Evotec SE American Depositary Shares,$20.50,0.73,3.692%,7130504381.00,Germany,2021,44310,Health Care,Biotechnology: Pharmaceutical Preparations
EXK,Endeavour Silver Corporation Ordinary Shares (Canada),$4.6695,0.4895,11.711%,795969073.00,Canada,,2821480,,
FLGC,Flora Growth Corp. Common Stock,$1.6703,0.0903,5.715%,107430195.00,Canada,2021,754683,,
FMS,Fresenius Medical Care AG Common Stock,$33.94,-0.70,-2.021%,19888446907.00,Germany,,207269,Health Care,Medical/Nursing Services
FNV,Franco-Nevada Corporation,$136.74,6.66,5.12%,26143626077.00,Canada,,298981,,
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.5599,-0.0601,-1.66%,43883763.00,Canada,,11516,Capital Goods,Recreational Products/Toys
FSM,Fortuna Silver Mines Inc Ordinary Shares (Canada),$4.02,0.38,10.44%,1172382067.00,Canada,,3411956,,
FSV,FirstService Corporation Common Shares,$166.2287,3.5887,2.207%,7302182601.00,Canada,,47029,,
FTRP,Field Trip Health Ltd. Common Shares,$1.94,-0.04,-2.02%,112114468.00,Canada,,62971,,
FUSN,Fusion Pharmaceuticals Inc. Common Shares,$7.70,0.85,12.409%,331609886.00,Canada,2020,107236,,
FWP,Forward Pharma A/S American Depositary Shares,$5.66,0.06,1.071%,39726900.00,Denmark,2014,6430,Health Care,Biotechnology: Pharmaceutical Preparations
GAME,Engine Gaming and Media Inc. Common Stock,$2.79,0.01,0.36%,43365832.00,Canada,,25842,,
GAU,Galiano Gold Inc.,$0.6801,0.0101,1.507%,152984042.00,Canada,,483455,,
GBNH,Greenbrook TMS Inc. Common Shares,$3.92,0.00,0.00%,69783389.00,Canada,,143,,
GIB,CGI Inc. Common Stock,$86.32,-0.32,-0.369%,21020996946.00,Canada,,78329,,
GIL,Gildan Activewear Inc. Class A Sub. Vot. Common Stock,$41.12,-0.38,-0.916%,7974020541.00,Canada,1998,432183,Consumer Durables,Building Products
GLTO,Galecto Inc. Common Stock,$2.40,0.00,0.00%,60628397.00,Denmark,2020,43947,Health Care,Biotechnology: Pharmaceutical Preparations
GMAB,Genmab A/S ADS,$35.23,0.78,2.264%,23047201775.00,Denmark,2019,330488,Health Care,Biotechnology: Commercial Physical & Biological Resarch
GOLD,Barrick Gold Corporation Common Stock (BC),$20.095,1.535,8.27%,35754749538.00,Canada,,19269449,,
GP,GreenPower Motor Company Inc. Common Shares,$6.6797,-0.1903,-2.77%,148375241.00,Canada,,136468,Capital Goods,Auto Parts:O.E.M.
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.2352,0.0101,4.487%,104765821.00,Canada,,2059297,,
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.457,0.0238,5.494%,163592405.00,Canada,,420122,,
GTE,Gran Tierra Energy Inc. Common Stock,$0.8977,0.0077,0.865%,329585618.00,Canada,,2258391,Energy,Oil & Gas Production
HBM,Hudbay Minerals Inc. Ordinary Shares (Canada),$8.30,0.28,3.491%,2170660081.00,Canada,,579944,,
HEXO,HEXO Corp. Common Shares,$0.5832,-0.0025,-0.427%,207478642.00,Canada,,3570350,,
HITI,High Tide Inc. Common Shares,$4.5248,-0.0052,-0.115%,259423028.00,Canada,,44192,,
HIVE,Hive Blockchain Technologies Ltd. Common Shares,$2.205,0.025,1.147%,903607895.00,Canada,,3398829,,
HUGE,FSD Pharma Inc. Class B Subordinate Voting Shares,$1.0217,-0.0183,-1.76%,41301242.00,Canada,,35535,,
HUT,Hut 8 Mining Corp. Common Shares,$6.28,0.10,1.618%,1047123897.00,Canada,,2234145,,
IAG,Iamgold Corporation Ordinary Shares,$2.7473,0.1873,7.316%,1310187370.00,Canada,,2703173,,
IFRX,InflaRx N.V. Common Stock,$4.13,-0.20,-4.619%,182489332.00,Germany,2017,116352,Health Care,Biotechnology: Pharmaceutical Preparations
IMAX,Imax Corporation Common Stock,$18.25,0.14,0.773%,1078246482.00,Canada,,63447,,
IMCC,IM Cannabis Corp. Common Shares,$2.62,-0.02,-0.758%,178730882.00,Canada,,242460,,
IMO,Imperial Oil Limited Common Stock,$41.29,0.53,1.30%,28721792063.00,Canada,,174036,,
IMTX,Immatics N.V. Ordinary Shares,$11.25,-0.28,-2.428%,707728849.00,Germany,,52852,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMTXW,Immatics N.V. Warrants,$3.45,-0.17,-4.696%,0.00,Germany,,2435,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMV,IMV Inc. Common Shares,$1.2541,-0.0259,-2.023%,103015071.00,Canada,,45899,,
INM,InMed Pharmaceuticals Inc. Common Shares,$1.23,0.02,1.653%,17388552.00,Canada,,52151,,
IOBT,IO Biotech Inc. Common Stock,$7.3938,0.0838,1.146%,213054321.00,Denmark,2021,1582,Health Care,Biotechnology: Pharmaceutical Preparations
IPA,ImmunoPrecise Antibodies Ltd. Common Stock,$6.25,0.05,0.806%,121435563.00,Canada,,3919,,
IVCPU,Swiftmerge Acquisition Corp. Unit,$9.9521,0.00,0.00%,0.00,Canada,2021,24,,
KFS,Kingsway Financial Services Inc. Common Stock (DE),$5.28,-0.08,-1.493%,127292743.00,Canada,,2915,,
KGC,Kinross Gold Corporation Common Stock,$5.975,0.495,9.033%,7489065000.00,Canada,,15097947,,
KIQ,Kelso Technologies Inc Ordinary Shares,$0.4542,-0.0158,-3.362%,24649473.00,Canada,,36454,,
LAC,Lithium Americas Corp. Common Shares,$28.59,-0.74,-2.523%,3436518000.00,Canada,,2505574,,
LEV,The Lion Electric Company Common Shares,$9.1199,-0.1901,-2.042%,1727925675.00,Canada,2021,480082,,
LEXX,Lexaria Bioscience Corp. Common Stock,$4.5301,-0.0799,-1.733%,26958616.00,Canada,,41178,Health Care,Biotechnology: Pharmaceutical Preparations
LEXXW,Lexaria Bioscience Corp. Warrant,$1.14,0.04,3.636%,0.00,Canada,,1400,Health Care,Biotechnology: Pharmaceutical Preparations
LGO,Largo Inc. Common Shares,$9.33,0.08,0.865%,603893580.00,Canada,,39303,,
